"score_unit_mode","score_unit","kappa","lambda","policy","parameter","value","mean_objective","mean_regret","mean_retrains","n_paths"
"mean",0.149044950515486,2,0.298089901030972,"calendar","interval",10,9.67101937159464,4.00731125200618,19,128
"mean",0.149044950515486,2,0.298089901030972,"cusum","threshold",0.5,5.744174499816,3.74371180461597,6.7109375,128
"mean",0.149044950515486,2,0.298089901030972,"alarm","quantile",0.975,7.70468819084491,4.44432989831865,10.9375,128
"mean",0.149044950515486,2,0.298089901030972,"debt_threshold","threshold",3.55545742671044,5.61746069013893,3.08369653137567,8.5,128
"mean",0.149044950515486,2,0.298089901030972,"debt_utility","scale",8,6.85750881218835,3.74852429752937,10.4296875,128
"mean",0.149044950515486,2,0.298089901030972,"hybrid_utility","scale",4,6.89177191620671,4.83774619191517,6.890625,128
"mean",0.149044950515486,4,0.596179802061945,"never_retrain","none",0,88.2953539048258,88.2953539048258,0,128
"mean",0.149044950515486,4,0.596179802061945,"always_retrain","none",0,119.394126562291,0.75434595196407,199,128
"mean",0.149044950515486,4,0.596179802061945,"calendar","interval",20,13.2871825416121,7.92156432305456,9,128
"mean",0.149044950515486,4,0.596179802061945,"cusum","threshold",0.5,7.74463719501605,3.74371180461597,6.7109375,128
"mean",0.149044950515486,4,0.596179802061945,"alarm","quantile",0.975,10.9650464833712,4.44432989831865,10.9375,128
"mean",0.149044950515486,4,0.596179802061945,"debt_threshold","threshold",5.01471861744627,7.72328348111125,4.0018173729277,6.2421875,128
"mean",0.149044950515486,4,0.596179802061945,"debt_utility","scale",8,9.05925750637775,5.78026859503705,5.5,128
"mean",0.149044950515486,4,0.596179802061945,"hybrid_utility","scale",8,8.94579764049825,4.83774619191517,6.890625,128
