score_unit_mode,target_label,target_policy,benchmark_label,benchmark_policy,n_cells,cell_wins,mean_relative,bootstrap_mean,ci_025,ci_975,median_relative,iqr_25,iqr_75,replicate_win_rate,pooled_relative
q75,Age-adjusted debt threshold,debt_threshold_tuned,Tuned calendar,calendar_tuned,72,72,0.676851988362134,0.6773534381630895,0.6742090279301113,0.6805055671603174,0.670387827361055,0.6411426863069878,0.7052757861245862,0.9872222222222222,0.638394466161724
q75,Age-adjusted debt threshold,debt_threshold_tuned,Tuned CUSUM,cusum_tuned,72,58,0.9746208460838992,0.9748166090187494,0.9727595407892417,0.9769901156840083,0.9636485452024783,0.9445640139735159,0.986142602982092,0.6848611111111111,0.9672927157900681
q75,Debt utility,debt_utility_tuned,Tuned calendar,calendar_tuned,72,67,0.8008684012935521,0.8018661879888709,0.7952260902911612,0.8086221775419609,0.7871231694465397,0.7209121931638137,0.8814869088017101,0.8759722222222223,0.7699710303441745
q75,Debt utility,debt_utility_tuned,Tuned CUSUM,cusum_tuned,72,6,1.157738924998898,1.1585917776771997,1.149570099744428,1.167714916454446,1.1330791473857738,1.0368641269745946,1.2246965354623505,0.2816666666666667,1.1666569942237204
q75,Hybrid utility,hybrid_utility_tuned,Tuned calendar,calendar_tuned,72,69,0.7950154041803752,0.7958985451437827,0.7897918709542668,0.8021076971621296,0.8093160589334216,0.7009075575937328,0.8931178621996232,0.9069444444444444,0.7623490817739538
q75,Hybrid utility,hybrid_utility_tuned,Tuned CUSUM,cusum_tuned,72,2,1.148126745893452,1.1489235771376156,1.1405832154116973,1.1572956312709277,1.0894046647024176,1.0493691969560761,1.2200989950759442,0.2111111111111111,1.155108248545475
