"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","obj_alarm_tuned","obj_always_retrain","obj_calendar_tuned","obj_calendar10","obj_cusum_tuned","obj_debt_threshold_tuned","obj_debt_utility_tuned","obj_hybrid_utility_tuned","obj_never_retrain","regret_alarm_tuned","regret_always_retrain","regret_calendar_tuned","regret_calendar10","regret_cusum_tuned","regret_debt_threshold_tuned","regret_debt_utility_tuned","regret_hybrid_utility_tuned","regret_never_retrain","retrains_alarm_tuned","retrains_always_retrain","retrains_calendar_tuned","retrains_calendar10","retrains_cusum_tuned","retrains_debt_threshold_tuned","retrains_debt_utility_tuned","retrains_hybrid_utility_tuned","retrains_never_retrain","rel_debt_utility_vs_calendar10","rel_debt_utility_vs_calendar","rel_debt_utility_vs_cusum","rel_debt_utility_vs_alarm","rel_debt_utility_vs_debt_threshold","rel_debt_utility_vs_always_retrain","rel_debt_utility_vs_never_retrain","rel_hybrid_utility_vs_calendar10","rel_hybrid_utility_vs_calendar","rel_hybrid_utility_vs_cusum","rel_hybrid_utility_vs_alarm","rel_hybrid_utility_vs_debt_threshold","rel_hybrid_utility_vs_always_retrain","rel_hybrid_utility_vs_never_retrain"
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef",10.9633761419187,4.84806895110021,4.65950158896806,10.3734096999234,2.97527181817113,3.05169916506851,3.15774034319772,3.49782302856172,213.035054428136,10.7313131539661,1.88207443584203,3.67580491556585,10.090224293944,2.21201262658133,2.60560762817566,2.26048974109449,2.89955659719256,213.035054428136,15.57,199,66,19,51.21,29.93,60.2,40.14,0,0.30440717512787,0.677699166510439,1.06132835457661,0.288026270586854,1.03474824102684,0.651339816955597,0.0148226326022928,0.337191254345961,0.750686089869192,1.17563141868221,0.319046157249657,1.14618867698356,0.721487888031777,0.0164190022057692
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual",4.80926513242966,3.76806217960314,2.54383990684704,4.54390713906604,1.90400153203263,2.00524946220995,2.03158316107937,2.37844923941718,62.2132344755638,4.57884163893272,0.802067664344962,1.56014323344483,4.26072173308662,1.16250290321809,1.60297714076865,1.15206890808749,1.76766303220472,62.2132344755638,15.46,199,66,19,49.75,26.99,59.01,40.98,0,0.447100501595405,0.798628544041284,1.06700710419625,0.422431100206988,1.01313238046721,0.53915860838935,0.0326551605651903,0.523437026027351,0.934983853746182,1.24918451976141,0.494555649132111,1.18611139623293,0.631212842583103,0.0382305993164748
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none",0.323085978491554,3.018337132527,1.05858411569213,0.413918094988452,0.419181984523709,0.409312809209642,0.747268884969297,0.549646817018588,0.960623495874141,0.141847318664723,0.0523426172688275,0.0748874422899237,0.130732689009028,0.1130436561649,0.370859211976646,0.0780570571547636,0.336661582731958,0.960623495874141,12.16,199,66,19,20.54,2.58,44.9,14.29,0,1.80535447475459,0.705913563118894,1.78268368526947,2.31291029235684,1.82566699149296,0.247576348220475,0.777899862098732,1.327912028185,0.519228286983329,1.3112367356224,1.70124008347504,1.34285271472428,0.182102526286855,0.572177153046235
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance",5.95516518155443,3.95347643764009,2.88622506864056,5.42363448625217,2.12611270302646,2.09967232975548,2.19485526556373,2.38165448808249,111.392438402996,5.71550090112552,0.987481922381919,1.90252839523835,5.14044908027275,1.39251345658924,1.63718584830592,1.29417662959865,1.51957849430092,111.392438402996,16.08,199,66,19,49.22,31.03,60.43,57.84,0,0.404683477680373,0.760458804620366,1.03233251108439,0.368563288951597,1.04533228087991,0.555170948956985,0.0197038084185138,0.439125183328543,0.825179752597837,1.12019202213141,0.399930886125451,1.13429817325823,0.602420306696996,0.0213807554823976
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef",12.0014192301435,4.91697935844489,4.87540352718573,11.0482079328865,3.20136333940136,3.18061883571252,3.30282002866517,3.42699382561855,266.814577591337,11.7581778709022,1.95098484318672,3.89170685378352,10.7650225269071,2.37639953829814,2.66537044178048,2.37561139150833,2.80398593246382,266.814577591337,16.32,199,66,19,55.35,34.57,62.21,41.8,0,0.298946222656968,0.677445468923407,1.03169171334447,0.275202454420524,1.03842057136195,0.671717285734095,0.0123787090588577,0.310185493107677,0.702914908788431,1.07047949960575,0.285549047150282,1.07746133775594,0.69697136713269,0.0128441026594412
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"gradual",6.10327297568231,3.9849664151338,2.96837149130034,5.73126156890406,2.26231714934714,2.30422597614267,2.37153971977241,2.74691068572255,89.9487941657175,5.86196920079774,1.01897189987562,1.98467481789814,5.44807616292464,1.43064632547072,1.82206556122507,1.4513361952898,2.06353958760905,89.9487941657175,16.19,199,66,19,55.8,32.35,61.74,45.85,0,0.413790173639885,0.798936294437162,1.04827907106517,0.388568515486936,1.02921316933612,0.595121632836342,0.026365442046985,0.479285520770224,0.925393163818327,1.21420229984786,0.450071739649735,1.19211861777591,0.689318403108881,0.0305386048940442
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none",0.317846260950704,3.01818984048988,1.05694099428932,0.405762030930752,0.412619574315781,0.416868004373523,0.745799197650747,0.568792255183975,0.816049463143411,0.136905691024904,0.0521953252317,0.0732443208871136,0.122576624951328,0.109462144967282,0.381097216249807,0.077630684489822,0.37712044882106,0.816049463143411,12.14,199,66,19,20.34,2.4,44.83,12.86,0,1.83802115722855,0.70562046668671,1.807474109505,2.34641488441613,1.78905358489085,0.247101487005767,0.913914206594706,1.40178777664154,0.538149488246907,1.37849072266425,1.78952004495089,1.36444209969716,0.188454764360235,0.697007082135678
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance",6.13183235271403,3.98608391201713,2.99655231861821,5.67662790274229,2.20583737194938,2.12403843685364,2.25496526043429,2.31242502194018,131.37428565493,5.88590818436348,1.02008939675895,2.012855645216,5.39344249676286,1.45003042788535,1.6213098187649,1.342661118329,1.37031188973179,131.37428565493,16.5,199,66,19,50.71,33.73,61.21,63.21,0,0.397236757291235,0.752519903097876,1.02227176359855,0.367747376432464,1.06164051521337,0.565709430661027,0.0171644340381588,0.407358921803398,0.771695193697304,1.0483207199888,0.377118109061914,1.08869264407739,0.580124521455445,0.0176018085305829
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef",12.5623296805154,5.0620220500953,5.17102001538148,11.7299791727861,3.36730839935269,3.35449192373737,3.47016197758256,3.6266589447817,303.801201763386,12.3144679278082,2.09602753483713,4.18732334197927,11.4467937668066,2.51313178794844,2.81047785435584,2.53058260953294,2.99888161321047,303.801201763386,16.63,199,66,19,57.31,36.5,63.04,42.12,0,0.295837011001132,0.671078813708007,1.03054474554503,0.276235544348505,1.03448213812252,0.685528815015183,0.0114224761371592,0.309178634621591,0.701343049145818,1.07702013438355,0.288693183272109,1.08113509504029,0.716444714956036,0.0119376056570254
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"gradual",6.27470086180976,4.01052663016234,3.02081234090294,5.81229620321595,2.33541851517875,2.32084359623288,2.42682858208924,2.53217175095276,99.5782908902433,6.03235377227158,1.04453211490416,2.03711566750073,5.52911079723652,1.47438583605079,1.80947037101424,1.49336005701075,1.81273177481451,99.5782908902433,16.26,199,66,19,57.77,34.31,62.63,48.27,0,0.417533535325759,0.803369527205999,1.0391407648421,0.386764028363464,1.04566657832023,0.605114690883129,0.0243710608044491,0.435657726726265,0.838241990959253,1.08424752758242,0.40355258469205,1.09105661194184,0.631381358225831,0.0254289537238971
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"none",0.318267798143734,3.01926941707666,1.06101450505309,0.411445323229389,0.414391204304515,0.414481408517518,0.747673730987679,0.504833236623578,0.819081026593297,0.143885206040616,0.0532749018184896,0.0773178316508849,0.128259917249965,0.113618494164264,0.381542474453595,0.0803994875298476,0.290357552831794,0.819081026593297,11.7,199,66,19,20.18,2.21,44.77,14.39,0,1.81718855161427,0.704678142878231,1.80427027219973,2.34919691953887,1.80387760614377,0.247633989454176,0.912820229882978,1.22697527015546,0.475802389335211,1.21825277993256,1.58619011903802,1.2179876497458,0.167203772465053,0.616341021502194
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"variance",5.77972524003975,3.94682906598723,2.92304388523137,5.50755135605916,2.14624310838533,2.04159429665624,2.18476235087369,2.24973050608289,135.628721945368,5.53186348733249,0.980834550729056,1.93934721182916,5.22436595007974,1.40712919877904,1.543635116984,1.27290534361994,1.31924288001471,135.628721945368,16.63,199,66,19,49.59,33.41,61.18,62.43,0,0.396684880381571,0.747427146719268,1.01794728767578,0.378004534841636,1.07012561430639,0.553548763918208,0.0161084047651331,0.408481076369418,0.769653345763852,1.04821792894441,0.389245234444297,1.10194787954078,0.570009612392515,0.0165874194920829
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"abrupt_coef",10.1840266656249,4.61556709494153,4.19588716535323,9.40458547284837,2.90761150603033,2.90074455164051,3.00093851755379,3.13061838042297,251.400381704941,9.93258783410531,1.64957257968335,3.21219049195102,9.12140006686895,2.06938270433123,2.37685155057857,2.07209038594128,2.54516981479814,251.400381704941,16.87,199,66,19,56.24,35.15,62.32,39.28,0,0.319093119650801,0.715209537170945,1.03209748321944,0.294671117435614,1.03454077535253,0.650177639242358,0.0119368892648535,0.332882123243099,0.746115959998515,1.07669761724705,0.307404770550143,1.0792464916128,0.678273832018171,0.0124527192806622
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"gradual",6.81488413799192,4.09059247576165,3.20886166125352,6.39398884435988,2.47350395498401,2.48946041589148,2.5571195174248,2.69834501643748,120.17340542768,6.57059946409704,1.12459796050348,2.22516498785132,6.11080343838045,1.58266228575295,1.93799409898418,1.60382801392775,1.94089857791778,120.17340542768,16.39,199,66,19,59.77,37,63.96,50.82,0,0.39992555190027,0.796893037896147,1.03380449918922,0.375225677450516,1.02717821946531,0.625122041018928,0.0212785808001726,0.422012781398216,0.840904127784488,1.09089981885835,0.395948773566762,1.08390758061971,0.659646501680678,0.0224537617689575
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"none",0.3290685510669,3.01960408259335,1.06058024208375,0.416029410046118,0.415825372250887,0.431080215278492,0.745858686967038,0.565046120444575,0.923452085937739,0.1375457896545,0.0536095673351744,0.0768835686815457,0.132844004066694,0.113711257555997,0.396650831709415,0.0794787132122995,0.355637964970317,0.923452085937739,12.85,199,66,19,20.27,2.31,44.71,14.05,0,1.79280278979401,0.703255310038236,1.79368248486056,2.26657541277898,1.73020857959159,0.247005457194397,0.807685312887285,1.35818792325749,0.532770740037936,1.35885436087256,1.71710763186756,1.31076792768032,0.187125896306013,0.611884611068681
"mean",0.149044950515486,0.1,0.0149044950515486,0.2,"variance",6.50315638406224,4.04035643661236,3.04927647303845,5.98513223328857,2.23969674514648,2.15479300905383,2.27881635956606,2.35395982325675,156.430612369073,6.25693412581066,1.07436192135418,2.06557979963624,5.70194682730915,1.50520322900617,1.66160326779809,1.3706854760752,1.40633202787929,156.430612369073,16.52,199,66,19,49.28,33.09,60.93,63.58,0,0.380746200876158,0.747330187903669,1.01746647822048,0.350416970619209,1.05755696718484,0.564013694167224,0.0145675857497096,0.393301222346319,0.771973234985528,1.05101720952083,0.361971892452989,1.09242967346101,0.582611920553828,0.0150479486566412
"mean",0.149044950515486,0.25,0.0372612376288715,0.02,"abrupt_coef",11.5412156471143,9.29706072398747,6.91780213792647,10.7981878088925,3.85896931134066,3.72083647040778,4.55023269190979,4.64528204378194,213.035054428136,11.0966890822019,1.88207443584203,5.46461387040048,10.090224293944,2.86409426664979,2.60560762817566,3.13356043726009,3.4581390129261,213.035054428136,11.93,199,39,19,26.7,29.93,38.02,31.86,0,0.421388548934349,0.657756987145293,1.17913160867532,0.394259394420682,1.22290585143913,0.489427016451519,0.0213590796318675,0.430190891841728,0.671496806523916,1.20376236994953,0.402495039155032,1.2484510084564,0.49965060804611,0.0218052472925246
