"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","policy","n_rep","mean_objective","se_objective","q025_objective","median_objective","q975_objective","mean_regret","mean_retrains","se_retrains"
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","alarm_tuned",100,10.9633761419187,1.50473747462731,0.291900075555659,3.77652913207914,50.0166277826489,10.7313131539661,15.57,0.240896893154132
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","always_retrain",100,4.84806895110021,0.256209112595761,3.01448201573868,3.64020186203877,11.8583557572576,1.88207443584203,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","calendar_tuned",100,4.65950158896806,0.50508325911181,1.04985185994406,2.20963224809846,17.8276777302143,3.67580491556585,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","calendar10",100,10.3734096999234,1.40348418675569,0.384650460717981,3.47345248211761,44.9713688658184,10.090224293944,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","cusum_tuned",100,2.97527181817113,0.293962627923457,0.373832532695572,1.79095201562963,10.7414724496492,2.21201262658133,51.21,2.29268908322154
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","debt_threshold_tuned",100,3.05169916506851,0.287040993094655,0.322483922157052,1.98842979517016,10.4310432216102,2.60560762817566,29.93,2.07316938843195
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","debt_utility_tuned",100,3.15774034319772,0.295481242908956,0.728003854033362,1.84594714171053,10.8624978730546,2.26048974109449,60.2,1.21281041012563
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","hybrid_utility_tuned",100,3.49782302856172,0.331108869091504,0.458587435932403,2.42474071338779,11.7028397399544,2.89955659719256,40.14,2.02484667083808
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef","never_retrain",100,213.035054428136,33.4351073004974,0.72809535968802,61.0116280204888,1220.89709568141,213.035054428136,0,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","alarm_tuned",100,4.80926513242966,0.471056240413698,0.419806691096054,2.78532959633254,15.756355426737,4.57884163893272,15.46,0.191970115519383
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","always_retrain",100,3.76806217960314,0.0738243614177301,3.05804953085653,3.45012269740339,5.42588794728514,0.802067664344962,199,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","calendar_tuned",100,2.54383990684704,0.147677729629429,1.11763148261007,1.9261369419195,5.88206904633324,1.56014323344483,66,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","calendar10",100,4.54390713906604,0.435236984297253,0.569883503084485,2.6652664530603,14.7557175088725,4.26072173308662,19,0
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","cusum_tuned",100,1.90400153203263,0.113210116465868,0.497257373253343,1.5104285833667,4.34480656096462,1.16250290321809,49.75,1.76985846606416
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","debt_threshold_tuned",100,2.00524946220995,0.110744175312524,0.346155063651576,1.61500122397169,4.36637768360575,1.60297714076865,26.99,1.61679911984742
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","debt_utility_tuned",100,2.03158316107937,0.108488809926454,0.838347168071284,1.56456422757773,4.47190793959286,1.15206890808749,59.01,0.890975518034796
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual","hybrid_utility_tuned",100,2.37844923941718,0.150600929151309,0.647786757074333,1.93301971412662,6.06160916534967,1.76766303220472,40.98,1.9581469285882
