"score_unit_mode","target_policy","benchmark","shift_type","n_cells","cell_wins","cell_win_rate","mean_relative"
"median","hybrid_utility_tuned","calendar10","gradual",24,24,1,0.428508738827846
"median","hybrid_utility_tuned","calendar10","variance",24,24,1,0.391672428253502
"median","hybrid_utility_tuned","calendar_tuned","abrupt_coef",24,20,0.833333333333333,0.815618465330797
"median","hybrid_utility_tuned","calendar_tuned","gradual",24,19,0.791666666666667,0.921761756455817
"median","hybrid_utility_tuned","calendar_tuned","variance",24,24,1,0.853993816431061
"median","hybrid_utility_tuned","cusum_tuned","abrupt_coef",24,8,0.333333333333333,1.04085415240232
"median","hybrid_utility_tuned","cusum_tuned","gradual",24,8,0.333333333333333,1.07756868387838
"median","hybrid_utility_tuned","cusum_tuned","variance",24,10,0.416666666666667,1.01577252258651
"median","hybrid_utility_tuned","alarm_tuned","abrupt_coef",24,24,1,0.280982755763893
"median","hybrid_utility_tuned","alarm_tuned","gradual",24,24,1,0.406137927634291
"median","hybrid_utility_tuned","alarm_tuned","variance",24,24,1,0.367018310014813
"median","hybrid_utility_tuned","debt_threshold_tuned","abrupt_coef",24,12,0.5,1.00456657649453
"median","hybrid_utility_tuned","debt_threshold_tuned","gradual",24,12,0.5,1.00643696168498
"median","hybrid_utility_tuned","debt_threshold_tuned","variance",24,12,0.5,1.01768255268482
"median","hybrid_utility_tuned","always_retrain","abrupt_coef",24,20,0.833333333333333,0.767549628393503
"median","hybrid_utility_tuned","always_retrain","gradual",24,20,0.833333333333333,0.737745080376249
"median","hybrid_utility_tuned","always_retrain","variance",24,24,1,0.690721647298078
"median","hybrid_utility_tuned","never_retrain","abrupt_coef",24,24,1,0.0126714522200533
"median","hybrid_utility_tuned","never_retrain","gradual",24,24,1,0.0275660014987969
"median","hybrid_utility_tuned","never_retrain","variance",24,24,1,0.0171593324462285
"q75","debt_utility_tuned","calendar10","abrupt_coef",24,24,1,0.465010235774424
"q75","debt_utility_tuned","calendar10","gradual",24,22,0.916666666666667,0.732443203574843
"q75","debt_utility_tuned","calendar10","variance",24,24,1,0.592875590053245
"q75","debt_utility_tuned","calendar_tuned","abrupt_coef",24,24,1,0.684081272360462
"q75","debt_utility_tuned","calendar_tuned","gradual",24,19,0.791666666666667,0.943991725808199
"q75","debt_utility_tuned","calendar_tuned","variance",24,24,1,0.774532205711995
"q75","debt_utility_tuned","cusum_tuned","abrupt_coef",24,0,0,1.1096453262262
