"score_unit_mode","kappa","policy","parameter","tuned_value","grid_min","grid_max","n_grid_values","at_lower_boundary","at_upper_boundary","at_any_boundary"
"q75",0.25,"hybrid_utility","scale",1.5,0.25,8,8,FALSE,FALSE,FALSE
"q75",0.5,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",0.5,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",0.5,"calendar","interval",5,1,80,8,FALSE,FALSE,FALSE
"q75",0.5,"cusum","threshold",0.05,0.01,16,11,FALSE,FALSE,FALSE
"q75",0.5,"alarm","quantile",0.95,0.5,0.975,7,FALSE,FALSE,FALSE
"q75",0.5,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"q75",0.5,"debt_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"q75",0.5,"hybrid_utility","scale",2,0.25,8,8,FALSE,FALSE,FALSE
"q75",1,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",1,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",1,"calendar","interval",5,1,80,8,FALSE,FALSE,FALSE
"q75",1,"cusum","threshold",0.1,0.01,16,11,FALSE,FALSE,FALSE
"q75",1,"alarm","quantile",0.95,0.5,0.975,7,FALSE,FALSE,FALSE
"q75",1,"debt_threshold","threshold",1.82632818040671,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"q75",1,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"q75",1,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"q75",2,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",2,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",2,"calendar","interval",10,1,80,8,FALSE,FALSE,FALSE
"q75",2,"cusum","threshold",0.2,0.01,16,11,FALSE,FALSE,FALSE
"q75",2,"alarm","quantile",0.975,0.5,0.975,7,FALSE,TRUE,TRUE
"q75",2,"debt_threshold","threshold",2.51550597679495,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"q75",2,"debt_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"q75",2,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"q75",4,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",4,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"q75",4,"calendar","interval",10,1,80,8,FALSE,FALSE,FALSE
"q75",4,"cusum","threshold",0.5,0.01,16,11,FALSE,FALSE,FALSE
"q75",4,"alarm","quantile",0.975,0.5,0.975,7,FALSE,TRUE,TRUE
"q75",4,"debt_threshold","threshold",3.55545742671044,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"q75",4,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"q75",4,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",0.1,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.1,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.1,"calendar","interval",3,1,80,8,FALSE,FALSE,FALSE
"mean",0.1,"cusum","threshold",0.01,0.01,16,11,TRUE,FALSE,TRUE
"mean",0.1,"alarm","quantile",0.5,0.5,0.975,7,TRUE,FALSE,TRUE
"mean",0.1,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"mean",0.1,"debt_utility","scale",2,0.25,8,8,FALSE,FALSE,FALSE
"mean",0.1,"hybrid_utility","scale",1,0.25,8,8,FALSE,FALSE,FALSE
"mean",0.25,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.25,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.25,"calendar","interval",5,1,80,8,FALSE,FALSE,FALSE
"mean",0.25,"cusum","threshold",0.05,0.01,16,11,FALSE,FALSE,FALSE
"mean",0.25,"alarm","quantile",0.95,0.5,0.975,7,FALSE,FALSE,FALSE
"mean",0.25,"debt_threshold","threshold",0.949584433317502,0.949584433317502,46.1435111501603,12,TRUE,FALSE,TRUE
"mean",0.25,"debt_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",0.25,"hybrid_utility","scale",2,0.25,8,8,FALSE,FALSE,FALSE
"mean",0.5,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.5,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",0.5,"calendar","interval",5,1,80,8,FALSE,FALSE,FALSE
"mean",0.5,"cusum","threshold",0.1,0.01,16,11,FALSE,FALSE,FALSE
"mean",0.5,"alarm","quantile",0.95,0.5,0.975,7,FALSE,FALSE,FALSE
"mean",0.5,"debt_threshold","threshold",1.82632818040671,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"mean",0.5,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"mean",0.5,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",1,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",1,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",1,"calendar","interval",10,1,80,8,FALSE,FALSE,FALSE
"mean",1,"cusum","threshold",0.2,0.01,16,11,FALSE,FALSE,FALSE
"mean",1,"alarm","quantile",0.975,0.5,0.975,7,FALSE,TRUE,TRUE
"mean",1,"debt_threshold","threshold",2.51550597679495,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"mean",1,"debt_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",1,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",2,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",2,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",2,"calendar","interval",10,1,80,8,FALSE,FALSE,FALSE
"mean",2,"cusum","threshold",0.5,0.01,16,11,FALSE,FALSE,FALSE
"mean",2,"alarm","quantile",0.975,0.5,0.975,7,FALSE,TRUE,TRUE
"mean",2,"debt_threshold","threshold",3.55545742671044,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"mean",2,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"mean",2,"hybrid_utility","scale",4,0.25,8,8,FALSE,FALSE,FALSE
"mean",4,"never_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",4,"always_retrain","none",0,0,0,1,FALSE,FALSE,FALSE
"mean",4,"calendar","interval",20,1,80,8,FALSE,FALSE,FALSE
"mean",4,"cusum","threshold",0.5,0.01,16,11,FALSE,FALSE,FALSE
"mean",4,"alarm","quantile",0.975,0.5,0.975,7,FALSE,TRUE,TRUE
"mean",4,"debt_threshold","threshold",5.01471861744627,0.949584433317502,46.1435111501603,12,FALSE,FALSE,FALSE
"mean",4,"debt_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
"mean",4,"hybrid_utility","scale",8,0.25,8,8,FALSE,TRUE,TRUE
