"axis","severity","score_unit_mode","n_reps","dt_cusum_win_mean","dt_cusum_win_sd","dt_cusum_ratio_mean","dt_cusum_ratio_sd","dt_cusum_ratio_q05","dt_cusum_ratio_q95","dt_calendar_ratio_mean","frac_deployed_better","mean_sqrt_debt"
"hetero",0,"median",8,0.46875,0.0275286446934754,1.02198548765275,0.011104080471466,1.00686929325346,1.03450364773012,0.863752518423024,0.246181640625,1.25022952787565
"hetero",0,"q75",8,0.850694444444444,0.0178019429017128,0.954595782627816,0.00471515675051234,0.948081465188353,0.960615975599442,0.654552344129905,0.246181640625,1.25022952787565
"hetero",0,"mean",8,0.928819444444444,0.0409579272883789,0.950417385313021,0.00687758083334649,0.94401307016507,0.961125815921173,0.625197297917751,0.246181640625,1.25022952787565
"hetero",0.5,"median",8,0.480902777777778,0.0296376373934318,1.02026391681615,0.0109119313498249,1.0053559982962,1.03397824160894,0.853974719831448,0.2659912109375,1.28251584616478
"hetero",0.5,"q75",8,0.852430555555556,0.0451198067113763,0.946721454210943,0.00795784327553691,0.938131543280726,0.957536086125686,0.645153188297489,0.2659912109375,1.28251584616478
"hetero",0.5,"mean",8,0.927083333333333,0.0703316344236748,0.936714830024122,0.0113954718882471,0.925888736664287,0.954250937113867,0.617718650315224,0.2659912109375,1.28251584616478
"hetero",1,"median",8,0.524305555555555,0.0633213230048925,1.00992498718464,0.017130162333552,0.992343344813213,1.03520865368515,0.845411825273301,0.27587890625,1.30328702321159
"hetero",1,"q75",8,0.862847222222222,0.0489289495859433,0.938077540621073,0.0125921016206002,0.923633891467245,0.956933521484453,0.636218905070675,0.27587890625,1.30328702321159
"hetero",1,"mean",8,0.9375,0.0749779509035363,0.927442309475389,0.0151018864876178,0.913568003863929,0.951804071497576,0.609046993556964,0.27587890625,1.30328702321159
"hetero",1.5,"median",8,0.545138888888889,0.0544280425569255,1.00376739613994,0.01878442283516,0.983738935534559,1.03173854214598,0.840008220407896,0.2825537109375,1.31703740510753
"hetero",1.5,"q75",8,0.873263888888889,0.0552758334985502,0.930903881553447,0.0143333012720291,0.914930586006065,0.951756075589283,0.631451011466386,0.2825537109375,1.31703740510753
"hetero",1.5,"mean",8,0.949652777777778,0.0642662681248481,0.919228425412228,0.0164167439671703,0.902512286658028,0.945075634326968,0.601887912248252,0.2825537109375,1.31703740510753
"hetero",2,"median",8,0.5625,0.0519674637051937,0.997071398371516,0.0189326271644407,0.97620605330439,1.02505064676868,0.834077675274047,0.287119140625,1.32669996041364
"hetero",2,"q75",8,0.883680555555556,0.0419550207416477,0.926801132805712,0.0129710089259462,0.91189757293762,0.945340017880491,0.627915313226989,0.287119140625,1.32669996041364
"hetero",2,"mean",8,0.953125,0.0508620029309865,0.914223375543813,0.0160597087465225,0.897982067685574,0.93991390384693,0.597943558641319,0.287119140625,1.32669996041364
"hetero",4,"median",8,0.616319444444445,0.0469163177691502,0.980941452595388,0.0233427507876307,0.953705622223204,1.01486755044674,0.820333083672053,0.296201171875,1.34712335826216
"hetero",4,"q75",8,0.881944444444445,0.0348212872515563,0.916679428886749,0.0140458654890275,0.899531522278707,0.936649444550565,0.621181094724851,0.296201171875,1.34712335826216
"hetero",4,"mean",8,0.951388888888889,0.0638630037279009,0.903263003005377,0.0150841067536749,0.887521683691909,0.925687178981565,0.590591699015903,0.296201171875,1.34712335826216
"nonlinear",0,"median",4,0.482638888888889,0.0307966080917828,1.01787047830343,0.0123543692253176,1.00553492994475,1.03128683941527,0.861198246873953,0.249833984375,1.24303449582987
"nonlinear",0,"q75",4,0.857638888888889,0.0132975987188381,0.9521163538893,0.00435376159091574,0.947546501627248,0.956090898915713,0.652134558972378,0.249833984375,1.24303449582987
"nonlinear",0,"mean",4,0.927083333333333,0.0307966080917823,0.949811920149409,0.00728714645186533,0.944850700598421,0.958619712268714,0.622383787336481,0.249833984375,1.24303449582987
"nonlinear",0.2,"median",3,0.425925925925926,0.0400937686937237,1.03524866058114,0.0186996778588821,1.01838375811388,1.05204280947533,0.867998796985571,0.257135416666667,1.25644125707376
"nonlinear",0.2,"q75",3,0.814814814814815,0.0349529372003273,0.960588783246993,0.00769447481304064,0.953119479060737,0.966563875617415,0.660474591670429,0.257135416666667,1.25644125707376
"nonlinear",0.2,"mean",3,0.888888888888889,0.100154202096222,0.956176587822549,0.0166208604852315,0.945902985660304,0.972554187583683,0.628337703308079,0.257135416666667,1.25644125707376
"nonlinear",0.4,"median",4,0.236111111111111,0.0708197154665666,1.16516235166135,0.0426042036350806,1.12274932599719,1.21145271419682,0.966618796692379,0.237705078125,1.31743786857179
