"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"q75",72,0.875,0.947145278956418,1,0.64060080979961,0.2559375,1.23155233127688,"hetero",0,2,"signed"
"mean",72,0.958333333333333,0.946631136707243,1,0.606434035629434,0.2559375,1.23155233127688,"hetero",0,2,"signed"
"median",72,0.472222222222222,1.01675520003426,0.666666666666667,0.88720827427008,0.255859375,1.17207790982141,"hetero",0,3,"signed"
"q75",72,0.847222222222222,0.955263049924711,1,0.668970655126566,0.255859375,1.17207790982141,"hetero",0,3,"signed"
"mean",72,0.888888888888889,0.960582437976861,1,0.629889077108402,0.255859375,1.17207790982141,"hetero",0,3,"signed"
"median",72,0.5,1.0176675088131,0.736111111111111,0.838667429665489,0.261796875,1.35738871250023,"hetero",0.5,1,"signed"
"q75",72,0.902777777777778,0.937188473901565,1,0.63281597479325,0.261796875,1.35738871250023,"hetero",0.5,1,"signed"
"mean",72,0.986111111111111,0.924730965119729,1,0.609388503136774,0.261796875,1.35738871250023,"hetero",0.5,1,"signed"
"median",72,0.5,1.00227897339792,0.736111111111111,0.828186881409459,0.279921875,1.2620435175491,"hetero",0.5,2,"signed"
"q75",72,0.902777777777778,0.940529692992803,1,0.618087268872655,0.279921875,1.2620435175491,"hetero",0.5,2,"signed"
"mean",72,1,0.928038883818466,1,0.600203599693992,0.279921875,1.2620435175491,"hetero",0.5,2,"signed"
"median",72,0.5,1.01107047310728,0.694444444444444,0.865570085490757,0.2753515625,1.19893646555729,"hetero",0.5,3,"signed"
"q75",72,0.833333333333333,0.94649290393058,1,0.6599113147141,0.2753515625,1.19893646555729,"hetero",0.5,3,"signed"
"mean",72,0.875,0.94309610551504,1,0.620897559269284,0.2753515625,1.19893646555729,"hetero",0.5,3,"signed"
"median",72,0.555555555555556,0.996698267205261,0.777777777777778,0.823023776817198,0.271953125,1.37737388132368,"hetero",1,1,"signed"
"q75",72,0.902777777777778,0.920360295041903,1,0.621130044974875,0.271953125,1.37737388132368,"hetero",1,1,"signed"
"mean",72,1,0.912613137200061,1,0.600876535555425,0.271953125,1.37737388132368,"hetero",1,1,"signed"
"median",72,0.569444444444444,0.990031000417296,0.763888888888889,0.817928340987523,0.290390625,1.28238236673824,"hetero",1,2,"signed"
"q75",72,0.902777777777778,0.932522023122361,1,0.594676787596244,0.290390625,1.28238236673824,"hetero",1,2,"signed"
"mean",72,0.986111111111111,0.917721428876244,1,0.574503300994205,0.290390625,1.28238236673824,"hetero",1,2,"signed"
"median",72,0.597222222222222,0.996637698691345,0.736111111111111,0.848013424371157,0.2878515625,1.21696169176896,"hetero",1,3,"signed"
"q75",72,0.875,0.93829786197045,1,0.650599622569542,0.2878515625,1.21696169176896,"hetero",1,3,"signed"
"mean",72,0.902777777777778,0.938131568181017,1,0.614646066422033,0.2878515625,1.21696169176896,"hetero",1,3,"signed"
"median",72,0.597222222222222,0.979212782783751,0.777777777777778,0.809684019444868,0.283203125,1.40006345892566,"hetero",2,1,"signed"
"q75",72,0.916666666666667,0.907132834789521,1,0.61024389501117,0.283203125,1.40006345892566,"hetero",2,1,"signed"
"mean",72,1,0.895236960740206,1,0.591236249300885,0.283203125,1.40006345892566,"hetero",2,1,"signed"
"median",72,0.611111111111111,0.974587045123196,0.777777777777778,0.81014501745672,0.30109375,1.30539299622102,"hetero",2,2,"signed"
"q75",72,0.944444444444444,0.922199168647961,1,0.588801186054138,0.30109375,1.30539299622102,"hetero",2,2,"signed"
"mean",72,1,0.911894849627166,1,0.551873377257495,0.30109375,1.30539299622102,"hetero",2,2,"signed"
"median",72,0.597222222222222,0.991013413102397,0.75,0.838420971762003,0.3007421875,1.23765552454002,"hetero",2,3,"signed"
"q75",72,0.861111111111111,0.928814625549265,1,0.640600994022355,0.3007421875,1.23765552454002,"hetero",2,3,"signed"
"mean",72,0.930555555555556,0.924195883975793,1,0.602678333299248,0.3007421875,1.23765552454002,"hetero",2,3,"signed"
"median",72,0.652777777777778,0.968227007483005,0.777777777777778,0.797656393274946,0.2923046875,1.41989059016206,"hetero",4,1,"signed"
