"score_unit_mode","n_cells","dt_cusum_win","dt_cusum_ratio","dt_calendar_win","dt_calendar_ratio","frac_deployed_better","mean_sqrt_debt","axis","severity","rep","regret_mode"
"q75",72,0.847222222222222,0.877252763638128,1,0.566879566476018,0.2696875,1.40881588572996,"tail",3,7,"signed"
"mean",72,0.875,0.867870366629515,1,0.528441179589232,0.2696875,1.40881588572996,"tail",3,7,"signed"
"median",72,0.75,0.906723784397074,0.888888888888889,0.713682373543767,0.27421875,1.37856507242098,"tail",3,8,"signed"
"q75",72,0.833333333333333,0.889335788819411,1,0.581704232387371,0.27421875,1.37856507242098,"tail",3,8,"signed"
"mean",72,0.930555555555556,0.858947132263025,1,0.552141142006681,0.27421875,1.37856507242098,"tail",3,8,"signed"
"median",72,0.5,1.01744173835379,0.694444444444444,0.857316099178969,0.2443359375,1.24124714496584,"hetero",0,4,"signed"
"q75",72,0.847222222222222,0.949820096761948,1,0.653236231334525,0.2443359375,1.24124714496584,"hetero",0,4,"signed"
"mean",72,0.916666666666667,0.94749759992255,1,0.632052044540593,0.2443359375,1.24124714496584,"hetero",0,4,"signed"
"median",72,0.458333333333333,1.03067029185752,0.694444444444444,0.867199795776654,0.2381640625,1.25043119129746,"hetero",0,5,"signed"
"q75",72,0.861111111111111,0.960997851903448,1,0.660301686835569,0.2381640625,1.25043119129746,"hetero",0,5,"signed"
"mean",72,0.902777777777778,0.950657277307661,1,0.631586720114037,0.2381640625,1.25043119129746,"hetero",0,5,"signed"
"median",72,0.458333333333333,1.02578689078999,0.694444444444444,0.854892593708805,0.2358203125,1.26077169195653,"hetero",0,6,"signed"
"q75",72,0.833333333333333,0.959906776749146,1,0.652797571726162,0.2358203125,1.26077169195653,"hetero",0,6,"signed"
"mean",72,0.875,0.961418404045033,1,0.641867787886437,0.2358203125,1.26077169195653,"hetero",0,6,"signed"
"median",72,0.472222222222222,1.01302462791496,0.680555555555556,0.866361404291201,0.2465625,1.27332250780229,"hetero",0,7,"signed"
"q75",72,0.861111111111111,0.954995827027966,1,0.649993578183932,0.2465625,1.27332250780229,"hetero",0,7,"signed"
"mean",72,1,0.948284500448873,1,0.608731267355464,0.2465625,1.27332250780229,"hetero",0,7,"signed"
"median",72,0.430555555555556,1.03492017744585,0.666666666666667,0.876773366111725,0.2495703125,1.24517284862939,"hetero",0,8,"signed"
"q75",72,0.819444444444444,0.952400389784764,1,0.664787680404064,0.2495703125,1.24517284862939,"hetero",0,8,"signed"
"mean",72,0.944444444444444,0.943731220104964,1,0.629857458640149,0.2495703125,1.24517284862939,"hetero",0,8,"signed"
"median",72,0.5,1.01546367338907,0.736111111111111,0.854711748731454,0.2602734375,1.27432111630153,"hetero",0.5,4,"signed"
"q75",72,0.875,0.939882957842024,1,0.647073241478997,0.2602734375,1.27432111630153,"hetero",0.5,4,"signed"
"mean",72,0.888888888888889,0.932197089796841,1,0.624304323123959,0.2602734375,1.27432111630153,"hetero",0.5,4,"signed"
"median",72,0.486111111111111,1.02821214931757,0.722222222222222,0.854471654621691,0.2598828125,1.28190290928304,"hetero",0.5,5,"signed"
"q75",72,0.805555555555556,0.955156691172479,1,0.652615399107176,0.2598828125,1.28190290928304,"hetero",0.5,5,"signed"
"mean",72,0.944444444444444,0.939852125273763,1,0.626681702639456,0.2598828125,1.28190290928304,"hetero",0.5,5,"signed"
"median",72,0.416666666666667,1.03708306053506,0.708333333333333,0.862217179800894,0.252421875,1.29438992708157,"hetero",0.5,6,"signed"
"q75",72,0.777777777777778,0.958817298792798,1,0.651376841699646,0.252421875,1.29438992708157,"hetero",0.5,6,"signed"
"mean",72,0.791666666666667,0.96025738489785,1,0.638258997537606,0.252421875,1.29438992708157,"hetero",0.5,6,"signed"
"median",72,0.458333333333333,1.02427967804679,0.666666666666667,0.865553995408451,0.268359375,1.31094021196582,"hetero",0.5,7,"signed"
"q75",72,0.847222222222222,0.952711844709574,1,0.646914898736939,0.268359375,1.31094021196582,"hetero",0.5,7,"signed"
"mean",72,0.958333333333333,0.936884724991083,1,0.60625514306519,0.268359375,1.31094021196582,"hetero",0.5,7,"signed"
"median",72,0.486111111111111,1.02605581792243,0.736111111111111,0.862418783523389,0.269921875,1.28020390907969,"hetero",0.5,8,"signed"
"q75",72,0.875,0.942991770345722,1,0.652430566977148,0.269921875,1.28020390907969,"hetero",0.5,8,"signed"
"mean",72,0.972222222222222,0.928661360780204,1,0.615759374055531,0.269921875,1.28020390907969,"hetero",0.5,8,"signed"
"median",72,0.513888888888889,1.01370894634923,0.736111111111111,0.852687188731698,0.2684765625,1.29512901601892,"hetero",1,4,"signed"
"q75",72,0.875,0.933950107562763,1,0.642713762026736,0.2684765625,1.29512901601892,"hetero",1,4,"signed"
"mean",72,0.902777777777778,0.925285598225496,1,0.619194144430909,0.2684765625,1.29512901601892,"hetero",1,4,"signed"
"median",72,0.513888888888889,1.01654545431093,0.736111111111111,0.848046184808487,0.269765625,1.30265681345184,"hetero",1,5,"signed"
"q75",72,0.847222222222222,0.946401295328245,1,0.646346398638162,0.269765625,1.30265681345184,"hetero",1,5,"signed"
"mean",72,0.986111111111111,0.927021569708007,1,0.621803503767541,0.269765625,1.30265681345184,"hetero",1,5,"signed"
"median",72,0.402777777777778,1.04525806873281,0.722222222222222,0.869303831378754,0.2606640625,1.31588359495748,"hetero",1,6,"signed"
"q75",72,0.75,0.96260472018395,1,0.65248703136077,0.2606640625,1.31588359495748,"hetero",1,6,"signed"
"mean",72,0.777777777777778,0.95916618866803,1,0.637571306399242,0.2606640625,1.31588359495748,"hetero",1,6,"signed"
"median",72,0.472222222222222,1.01037856157442,0.722222222222222,0.854748241531077,0.278828125,1.33390411902721,"hetero",1,7,"signed"
"q75",72,0.875,0.940770594073177,1,0.639408762633521,0.278828125,1.33390411902721,"hetero",1,7,"signed"
"mean",72,0.958333333333333,0.924257657275997,1,0.598797330457964,0.278828125,1.33390411902721,"hetero",1,7,"signed"
"median",72,0.569444444444444,1.01014190019586,0.75,0.849543613560515,0.2791015625,1.30200470240636,"hetero",1,8,"signed"
"q75",72,0.875,0.929713427685738,1,0.642388830765552,0.2791015625,1.30200470240636,"hetero",1,8,"signed"
"mean",72,0.986111111111111,0.915341327668256,1,0.604983760428395,0.2791015625,1.30200470240636,"hetero",1,8,"signed"
"median",72,0.625,0.984413026521212,0.777777777777778,0.812742169841718,0.2789453125,1.39069220189982,"hetero",1.5,1,"signed"
"q75",72,0.916666666666667,0.909638317698987,1,0.613001664281461,0.2789453125,1.39069220189982,"hetero",1.5,1,"signed"
"mean",72,1,0.898372875239028,1,0.594730431908714,0.2789453125,1.39069220189982,"hetero",1.5,1,"signed"
"median",72,0.583333333333333,0.983375963464823,0.763888888888889,0.815879188243848,0.2972265625,1.29588577996724,"hetero",1.5,2,"signed"
"q75",72,0.930555555555556,0.924759084290637,1,0.590634811686542,0.2972265625,1.29588577996724,"hetero",1.5,2,"signed"
"mean",72,1,0.913640955449493,1,0.553926872746289,0.2972265625,1.29588577996724,"hetero",1.5,2,"signed"
"median",72,0.541666666666667,0.999055668697503,0.736111111111111,0.847726731265109,0.295390625,1.22907410905997,"hetero",1.5,3,"signed"
"q75",72,0.861111111111111,0.932009359357611,1,0.644748495818259,0.295390625,1.22907410905997,"hetero",1.5,3,"signed"
"mean",72,0.930555555555556,0.927956575233103,1,0.607155390760703,0.295390625,1.22907410905997,"hetero",1.5,3,"signed"
"median",72,0.569444444444444,1.00298976966122,0.736111111111111,0.842069547169596,0.273984375,1.30881435860883,"hetero",1.5,4,"signed"
"q75",72,0.888888888888889,0.926048267332478,1,0.639043365757229,0.273984375,1.30881435860883,"hetero",1.5,4,"signed"
"mean",72,0.944444444444444,0.916269729170619,1,0.613852274001729,0.273984375,1.30881435860883,"hetero",1.5,4,"signed"
"median",72,0.541666666666667,1.00342430042999,0.75,0.836653850759536,0.27640625,1.3164986491191,"hetero",1.5,5,"signed"
"q75",72,0.888888888888889,0.936204203066165,1,0.638757374838761,0.27640625,1.3164986491191,"hetero",1.5,5,"signed"
"mean",72,0.986111111111111,0.918782480793114,1,0.615621879665602,0.27640625,1.3164986491191,"hetero",1.5,5,"signed"
"median",72,0.444444444444444,1.04417548372402,0.708333333333333,0.873085250065936,0.2675390625,1.33013195913232,"hetero",1.5,6,"signed"
"q75",72,0.75,0.960130160794039,1,0.652532556949033,0.2675390625,1.33013195913232,"hetero",1.5,6,"signed"
"mean",72,0.805555555555556,0.954293589223665,1,0.635238968784544,0.2675390625,1.33013195913232,"hetero",1.5,6,"signed"
"median",72,0.5,1.00406359169111,0.722222222222222,0.847254171331076,0.284609375,1.34888602484916,"hetero",1.5,7,"signed"
"q75",72,0.888888888888889,0.933427297319621,1,0.634436890260296,0.284609375,1.34888602484916,"hetero",1.5,7,"signed"
"mean",72,0.944444444444444,0.914311433181207,1,0.593872145826553,0.284609375,1.34888602484916,"hetero",1.5,7,"signed"
"median",72,0.555555555555556,1.00864136492962,0.722222222222222,0.844654854586351,0.286328125,1.31631615822376,"hetero",1.5,8,"signed"
"q75",72,0.861111111111111,0.925014362568036,1,0.638452932139511,0.286328125,1.31631615822376,"hetero",1.5,8,"signed"
"mean",72,0.986111111111111,0.910199765007598,1,0.600705334291879,0.286328125,1.31631615822376,"hetero",1.5,8,"signed"
"median",72,0.569444444444444,0.997894919342068,0.736111111111111,0.83721802191681,0.279375,1.31841082309036,"hetero",2,4,"signed"
"q75",72,0.902777777777778,0.923095732269517,1,0.636128958392156,0.279375,1.31841082309036,"hetero",2,4,"signed"
"mean",72,0.930555555555556,0.9111226216064,1,0.609606903515473,0.279375,1.31841082309036,"hetero",2,4,"signed"
"median",72,0.569444444444444,0.998124559925208,0.805555555555556,0.83092110685692,0.280703125,1.32623977669142,"hetero",2,5,"signed"
"q75",72,0.888888888888889,0.928477786024931,1,0.634775246155772,0.280703125,1.32623977669142,"hetero",2,5,"signed"
"mean",72,0.972222222222222,0.908704072131221,1,0.611916741154392,0.280703125,1.32623977669142,"hetero",2,5,"signed"
"median",72,0.444444444444444,1.03729286048635,0.722222222222222,0.864584603608737,0.2721875,1.34015157685034,"hetero",2,6,"signed"
"q75",72,0.805555555555556,0.953200426324494,1,0.647181921168085,0.2721875,1.34015157685034,"hetero",2,6,"signed"
"mean",72,0.847222222222222,0.948377453008312,1,0.630636472198841,0.2721875,1.34015157685034,"hetero",2,6,"signed"
"median",72,0.555555555555556,0.996130499201875,0.722222222222222,0.842576173960109,0.2890234375,1.35934749784584,"hetero",2,7,"signed"
"q75",72,0.888888888888889,0.930742116484487,1,0.631409150909779,0.2890234375,1.35934749784584,"hetero",2,7,"signed"
"mean",72,0.958333333333333,0.91117503982015,1,0.58927091502411,0.2890234375,1.35934749784584,"hetero",2,7,"signed"
"median",72,0.555555555555556,1.00231510700728,0.75,0.839071487186207,0.290625,1.32633802914448,"hetero",2,8,"signed"
"q75",72,0.861111111111111,0.920746372355518,1,0.63418115410246,0.290625,1.32633802914448,"hetero",2,8,"signed"
"mean",72,0.986111111111111,0.903080123441258,1,0.596329477380105,0.290625,1.32633802914448,"hetero",2,8,"signed"
"median",72,0.611111111111111,0.986080492830451,0.75,0.8260736962638,0.2896484375,1.33868289099407,"hetero",4,4,"signed"
"q75",72,0.888888888888889,0.909304164816553,1,0.628952692683087,0.2896484375,1.33868289099407,"hetero",4,4,"signed"
"mean",72,0.930555555555556,0.899291469117379,1,0.602448287308582,0.2896484375,1.33868289099407,"hetero",4,4,"signed"
"median",72,0.597222222222222,0.995203005969358,0.791666666666667,0.827996579048562,0.2878125,1.34683087073743,"hetero",4,5,"signed"
"q75",72,0.861111111111111,0.922221605981175,1,0.629947219080335,0.2878125,1.34683087073743,"hetero",4,5,"signed"
"mean",72,0.944444444444444,0.900699519119648,1,0.604981802209346,0.2878125,1.34683087073743,"hetero",4,5,"signed"
"median",72,0.527777777777778,1.02545615131917,0.722222222222222,0.854825778761822,0.281015625,1.36131543022598,"hetero",4,6,"signed"
"q75",72,0.819444444444444,0.944418280703313,1,0.641993876378673,0.281015625,1.36131543022598,"hetero",4,6,"signed"
"mean",72,0.805555555555556,0.936522299407391,1,0.624504706439365,0.281015625,1.36131543022598,"hetero",4,6,"signed"
"median",72,0.611111111111111,0.97899868384803,0.736111111111111,0.83449851361038,0.2973828125,1.38129463443478,"hetero",4,7,"signed"
"q75",72,0.888888888888889,0.919136444035934,1,0.622717995696973,0.2973828125,1.38129463443478,"hetero",4,7,"signed"
"mean",72,0.972222222222222,0.903732678655729,1,0.58360731003126,0.2973828125,1.38129463443478,"hetero",4,7,"signed"
"median",72,0.597222222222222,0.984835188106909,0.777777777777778,0.819648848703458,0.3007421875,1.34749213058682,"hetero",4,8,"signed"
"q75",72,0.861111111111111,0.916755112842185,1,0.628667105556641,0.3007421875,1.34749213058682,"hetero",4,8,"signed"
"mean",72,0.986111111111111,0.894531952410166,1,0.587409231259107,0.3007421875,1.34749213058682,"hetero",4,8,"signed"
"median",72,0.5,1.01744173835379,0.694444444444444,0.857316099178969,0.2443359375,1.24124714496584,"nonlinear",0,4,"signed"
"q75",72,0.847222222222222,0.949820096761948,1,0.653236231334525,0.2443359375,1.24124714496584,"nonlinear",0,4,"signed"
"mean",72,0.916666666666667,0.94749759992255,1,0.632052044540593,0.2443359375,1.24124714496584,"nonlinear",0,4,"signed"
"median",72,0.305555555555556,1.14540392404696,0.625,0.962699397859001,0.22875,1.2955146498837,"nonlinear",0.4,4,"signed"
"q75",72,0.680555555555556,1.00771412369657,0.930555555555556,0.719051737873588,0.22875,1.2955146498837,"nonlinear",0.4,4,"signed"
"mean",72,0.722222222222222,0.995728661355865,1,0.686481719536825,0.22875,1.2955146498837,"nonlinear",0.4,4,"signed"
"median",72,0.0138888888888889,1.59781852607404,0.361111111111111,1.32931889673708,0.18734375,1.53591487933933,"nonlinear",0.8,4,"signed"
"q75",72,0.0555555555555556,1.31425980969094,0.680555555555556,0.988964856321837,0.18734375,1.53591487933933,"nonlinear",0.8,4,"signed"
"mean",72,0.0277777777777778,1.29389485245512,0.680555555555556,0.959505678959187,0.18734375,1.53591487933933,"nonlinear",0.8,4,"signed"
