"score_unit_mode","score_unit","kappa","lambda","shift_prob","shift_type","obj_alarm_tuned","obj_always_retrain","obj_calendar_tuned","obj_calendar10","obj_cusum_tuned","obj_debt_threshold_tuned","obj_debt_utility_tuned","obj_hybrid_utility_tuned","obj_never_retrain","regret_alarm_tuned","regret_always_retrain","regret_calendar_tuned","regret_calendar10","regret_cusum_tuned","regret_debt_threshold_tuned","regret_debt_utility_tuned","regret_hybrid_utility_tuned","regret_never_retrain","retrains_alarm_tuned","retrains_always_retrain","retrains_calendar_tuned","retrains_calendar10","retrains_cusum_tuned","retrains_debt_threshold_tuned","retrains_debt_utility_tuned","retrains_hybrid_utility_tuned","retrains_never_retrain","rel_debt_threshold_vs_calendar10","rel_debt_threshold_vs_calendar","rel_debt_threshold_vs_cusum","rel_debt_threshold_vs_alarm","rel_debt_threshold_vs_always_retrain","rel_debt_threshold_vs_never_retrain","rel_debt_utility_vs_calendar10","rel_debt_utility_vs_calendar","rel_debt_utility_vs_cusum","rel_debt_utility_vs_alarm","rel_debt_utility_vs_debt_threshold","rel_debt_utility_vs_always_retrain","rel_debt_utility_vs_never_retrain","rel_hybrid_utility_vs_calendar10","rel_hybrid_utility_vs_calendar","rel_hybrid_utility_vs_cusum","rel_hybrid_utility_vs_alarm","rel_hybrid_utility_vs_debt_threshold","rel_hybrid_utility_vs_always_retrain","rel_hybrid_utility_vs_never_retrain"
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"abrupt_coef",11.169200983668,4.81163311569053,4.61431836210804,10.3034766942742,2.91044309873013,2.93032461931927,3.1102790196427,3.393299927841,212.777141743817,10.991390357703,1.84563860043235,3.63062168870584,10.0202912882948,2.14718390714032,2.48423308242642,2.21302841753948,2.79503349647184,212.777141743817,11.93,199,66,19,51.21,29.93,60.2,40.14,0,0.284401538069931,0.635050377837509,1.00683109750464,0.262357587047104,0.609008323964604,0.0137718017795698,0.301866943744448,0.674049507546717,1.06866168282066,0.278469249876573,1.06141108023903,0.646408183013833,0.014617543003691,0.329335430023024,0.735384874114057,1.16590491988026,0.303808654961336,1.15799454622515,0.70522831775673,0.0159476713524356
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"gradual",4.68615367185254,3.73038342104089,2.49871980255826,4.47072015134249,1.83762918086834,1.8699068229948,1.98372416128015,2.26407878527818,60.7636422370531,4.51132394489787,0.764388905782717,1.51502312915605,4.18753474536306,1.0961305520538,1.4676345015535,1.10420990828826,1.65329257806572,60.7636422370531,11.73,199,66,19,49.75,26.99,59.01,40.98,0,0.418256289746361,0.748345941421817,1.01756482889067,0.399028063084322,0.501263975292126,0.0307734486306772,0.44371467999053,0.793896202066816,1.07950188315075,0.423316071172702,1.06086791966621,0.531774870671773,0.0326465644297815,0.506423732337242,0.906095506571067,1.23206510260592,0.483142240698894,1.21079764907863,0.606929242851513,0.0372604192560658
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"none",0.134809101048739,2.9674567739842,0.988149978598454,0.301196109180722,0.313546848400279,0.137901826286684,0.671427148945458,0.320423121834061,0.468803946964647,0.082345278467288,0.00146225872602181,0.00445330519624505,0.0180107032012978,0.00740852004147009,0.0994482290536886,0.0022153211309247,0.107437887547431,0.468803946964647,3.52,199,66,19,20.54,2.58,44.9,14.29,0,0.457847303080337,0.139555562691281,0.439812509646522,1.02294151666234,0.0464713850242654,0.294156709173533,2.22920259750963,0.679478989513089,2.14139339103898,4.98057730318006,4.86887786061388,0.226263497696709,1.43221308884605,1.06383552797424,0.324265677046853,1.02193060931362,2.37686565180947,2.32355966894835,0.107979036002553,0.683490665786191
"mean",0.149044950515486,0.1,0.0149044950515486,0.02,"variance",5.79451603956482,3.89929617675478,2.82923456077483,5.35728330505645,2.05097706295137,1.98243636599823,2.13565059656009,2.27023904582524,111.223528574288,5.60403659280603,0.933301661496603,1.84553788737263,5.07409789907702,1.31737781651415,1.51994988454868,1.23497196059501,1.40816305204367,111.223528574288,12.78,199,66,19,49.22,31.03,60.43,57.84,0,0.370045086868398,0.700697069618471,0.966581441503537,0.342122854171462,0.508408768181372,0.0178238938416175,0.398644326788611,0.754851020897754,1.04128448588639,0.368564101294728,1.07728582525508,0.54770155939719,0.019201428186426,0.423766845349113,0.802421643401491,1.10690611164532,0.39179096758454,1.14517625118428,0.58221764721516,0.0204114999310501
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"abrupt_coef",11.6419293332181,4.88642124019306,4.83924050936284,10.9950684096777,3.14998651582682,3.1024768297833,3.26627919277714,3.34639528334695,266.647583638243,11.4317759529912,1.92042672493488,3.85554383596064,10.7118830036983,2.32502271472361,2.58722843585126,2.3390705556203,2.72338739019222,266.647583638243,14.1,199,66,19,55.35,34.57,62.21,41.8,0,0.282169852354218,0.641108211873475,0.984917495422658,0.266491639055991,0.634918005894375,0.0116351207367113,0.297067655341025,0.674956986836595,1.03691846817947,0.280561674898457,1.05279728809619,0.668439954769042,0.0122494235582815,0.30435420305357,0.691512495994449,1.0623522565996,0.287443359907592,1.0786205560738,0.684835612579061,0.0125498803990174
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"gradual",6.0421609664221,3.948832055341,2.92852637526028,5.66699818505754,2.20282502240165,2.20764603268766,2.32975209342316,2.64492951274742,88.4975184548079,5.84601781154372,0.982837540082822,1.94482970185807,5.38381277907811,1.37115419852524,1.72548561777006,1.40954856894055,1.96155841463392,88.4975184548079,13.16,199,66,19,55.8,32.35,61.74,45.85,0,0.389561803373905,0.753841949772931,1.00218855798213,0.365373588184118,0.559063034778019,0.0249458523948897,0.411108671177297,0.795537343663534,1.05762013311576,0.385582593110348,1.05531052484299,0.589985104651906,0.0263256205835068,0.466724962030417,0.903160557163276,1.20069886888418,0.437745622376829,1.19807680832212,0.669800456357727,0.0298870472181441
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"none",0.103977138573288,2.96811329360805,0.987761203024272,0.293874203522426,0.306723473550632,0.136979744230707,0.673122287847047,0.322981606788343,0.321322853096418,0.0550903948042087,0.00211877834987334,0.00406452962206296,0.0106887975430023,0.00356604420213321,0.10120895610699,0.00495377468612201,0.131309800425427,0.321322853096418,3.28,199,66,19,20.34,2.4,44.83,12.86,0,0.466116939114915,0.138676983679162,0.446590352688135,1.31740251857534,0.0461504432885693,0.426299414780822,2.2905116535541,0.681462569886445,2.19455746263884,6.47375276030122,4.91402792162721,0.226784566915502,2.0948472272063,1.09904715322757,0.326983491353432,1.05300583307011,3.10627519876102,2.35787859440272,0.108817142352314,1.0051622649181
"mean",0.149044950515486,0.1,0.0149044950515486,0.05,"variance",5.95348288149486,3.92895140614971,2.94210161129734,5.61672582364451,2.13325472481881,2.04701984793301,2.19555464707905,2.23061011251226,131.276925188851,5.74064669215875,0.962956890891533,1.95840493789513,5.33354041766508,1.37744778075478,1.54429122984427,1.28325050497375,1.28849698030387,131.276925188851,14.28,199,66,19,50.71,33.73,61.21,63.21,0,0.364450733791518,0.695767896007631,0.959575911923444,0.343835682184581,0.521009204829806,0.0155931428542239,0.390895820094423,0.746253847470245,1.02920416466698,0.36878490973804,1.07256148458747,0.558814406215994,0.0167246044491109,0.397137083516192,0.758168957845294,1.04563701960239,0.374673137877937,1.08968660697874,0.567736752615684,0.0169916389289541
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"abrupt_coef",13.385217403103,5.03212791867935,5.13698156419091,11.6820710126437,3.32111227250231,3.29305938649758,3.43502959989817,3.56196057157449,303.688878779504,13.1667175056473,2.06613340342117,4.1532848907887,11.3988856066642,2.46693566109806,2.74904531711605,2.49545023184854,2.93418324000326,303.688878779504,14.66,199,66,19,57.31,36.5,63.04,42.12,0,0.28189003327693,0.641049485062001,0.991553165414791,0.246022106875467,0.654406930768529,0.0108435297325739,0.29404286244968,0.668686378756587,1.03430095644133,0.256628599779175,1.0431119505414,0.682619690001773,0.0113110154500988,0.304908313578931,0.693395630695729,1.07252037248675,0.266111521711163,1.08165694981982,0.707843804676035,0.0117289792958164
"mean",0.149044950515486,0.1,0.0149044950515486,0.1,"gradual",6.13233614308237,3.97704280103573,2.98308654188848,5.7524761554781,2.28401505458519,2.23011466266115,2.38825088487045,2.4330880558223,97.962849803923,5.92739933612358,1.01104828577755,1.99938986848628,5.46929074949868,1.42298237545722,1.71874143744252,1.45478235979196,1.71364807968404,97.962849803923,13.75,199,66,19,57.77,34.31,62.63,48.27,0,0.387679079823287,0.747586310804562,0.976401034741067,0.363664778092252,0.560746960550781,0.0227649018696866,0.415169193286635,0.800597250979695,1.0456371029937,0.389452050433428,1.07090945809064,0.600509223649412,0.0243791487247527,0.42296360559535,0.815627713663981,1.06526795913094,0.396763647499487,1.09101477899748,0.61178322123882,0.0248368443822554
