"score_unit_mode","score_unit","n_positive_regrets","median_positive_regret","mean_positive_regret","q25_positive_regret","q75_positive_regret","run_mode"
"median",0.0125070426588733,48428,0.0125070426588733,0.149044950515486,0.00231229184773579,0.080699258661979,"paper"
"q75",0.080699258661979,48428,0.0125070426588733,0.149044950515486,0.00231229184773579,0.080699258661979,"paper"
"mean",0.149044950515486,48428,0.0125070426588733,0.149044950515486,0.00231229184773579,0.080699258661979,"paper"
