"score_unit_mode","n_reps","dt_cusum_win_mean","dt_cusum_win_sd","dt_cusum_win_q05","dt_cusum_win_q50","dt_cusum_win_q95","dt_cusum_ratio_mean","dt_cusum_ratio_sd","dt_cusum_ratio_q05","dt_cusum_ratio_q50","dt_cusum_ratio_q95","dt_calendar_win_mean","dt_calendar_ratio_mean","regret_mode","dgp_mode"
"median",15,0.461111111111111,0.0420616202039329,0.408333333333334,0.458333333333333,0.526388888888889,1.02115858587651,0.0123090340335802,1.00199714479647,1.02336059649785,1.03685522202025,0.682407407407408,0.866673810109422,"signed","wellspec"
"q75",15,0.859259259259259,0.0195480986263612,0.833333333333333,0.861111111111111,0.893055555555556,0.954065283873572,0.00504329560309697,0.945393417471378,0.956230737560919,0.958986276773582,1,0.653514036161385,"signed","wellspec"
"mean",15,0.964814814814815,0.042604093225337,0.901388888888889,0.972222222222222,1,0.949064625888871,0.00578462240772749,0.944321181628792,0.946973433945891,0.959249984679105,1,0.620224367025533,"signed","wellspec"
