"score_unit_mode","n_reps","dt_cusum_win_mean","dt_cusum_win_sd","dt_cusum_win_q05","dt_cusum_win_q50","dt_cusum_win_q95","dt_cusum_ratio_mean","dt_cusum_ratio_sd","dt_cusum_ratio_q05","dt_cusum_ratio_q50","dt_cusum_ratio_q95","dt_calendar_win_mean","dt_calendar_ratio_mean","regret_mode","dgp_mode"
"median",15,0.627777777777778,0.0874007373475126,0.494444444444445,0.638888888888889,0.740277777777778,0.979952451897996,0.035242142258423,0.936148534999112,0.979177711896467,1.03171427455168,0.755555555555556,0.815529623867017,"signed","student_t"
"q75",15,0.880555555555556,0.0787075940526199,0.740277777777778,0.902777777777778,0.958333333333333,0.921047987618045,0.0247638811521805,0.89736834421702,0.914274544278624,0.961934004959882,0.998148148148148,0.619555207529427,"signed","student_t"
"mean",15,0.936111111111111,0.104173280213333,0.747222222222223,0.958333333333333,1,0.912413839663702,0.0240607441367583,0.888867618558682,0.906093413941421,0.955708689911146,0.999074074074074,0.587665243632238,"signed","student_t"
